Bankrupt,ROA(C) before interest and depreciation before interest,ROA(A) before interest and % after tax,ROA(B) before interest and depreciation after tax,Operating Gross Margin,Realized Sales Gross Margin,Operating Profit Rate,Pre-tax net Interest Rate,After-tax net Interest Rate,Non-industry income and expenditure/revenue,Continuous interest rate (after tax),Operating Expense Rate,Research and development expense rate,Cash flow rate,Interest-bearing debt interest rate,Tax rate (A),Operating Profit Per Share (Yuan ??),Total Asset Growth Rate,Total debt/Total net worth,Debt ratio %,Current Liability to Current Assets
1,0.370594257,0.424389446,0.405749772,0.601457213,0.601457213,0.998969203,0.796887146,0.808809361,0.302646434,0.78098485,0.000125697,0,0.458143144,0.000725073,0,0.095920528,4980000000,0.021265924,0.207576261,0.118250477
1,0.464290937,0.53821413,0.516730018,0.610235086,0.610235086,0.998945978,0.797380191,0.809300726,0.30355643,0.781505974,0.000289785,0,0.461867257,0.000647065,0,0.09372201,6110000000,0.012502394,0.171176346,0.047775282
1,0.426071272,0.499018753,0.472295091,0.601450006,0.601363525,0.998857353,0.796403369,0.808387521,0.302035177,0.780283936,0.00023613,25500000,0.458520587,0.000790079,0,0.092337758,7280000000,0.021247686,0.207515796,0.025346489
1,0.399844001,0.451264719,0.457733283,0.583541129,0.583541129,0.998699747,0.796966968,0.808965598,0.303349536,0.781240991,0.000107889,0,0.465705443,0.000449045,0,0.077762397,4880000000,0.009572402,0.151464764,0.067249617
1,0.465022181,0.538432185,0.522297768,0.598783494,0.598783494,0.998973132,0.797366081,0.80930372,0.303474978,0.781550045,7890000000,0,0.462746282,0.000686069,0,0.096897647,5510000000,0.0051496,0.106509055,0.047725372
1,0.388680349,0.415176625,0.419133787,0.590171378,0.590250652,0.998758098,0.796903193,0.808770562,0.303115813,0.781069061,0.00015715,0,0.465861453,0.000716072,0,0.078088104,608000000,0.014213152,0.180427487,0.099521933
0,0.390922829,0.445704317,0.436158253,0.619949841,0.619949841,0.998993121,0.797011929,0.80896039,0.302814415,0.781180079,0.000398483,730000000,0.461020105,0.000805081,0,0.099910431,5720000000,0.024441222,0.216101823,0.060765125
0,0.508360552,0.570922372,0.559077038,0.601738278,0.601716658,0.999008951,0.797448808,0.809361528,0.303544587,0.781621483,9000000000,50900000,0.46702398,0.000630063,0.157607045,0.104796026,6630000000,0.005278181,0.108202074,0.030201105
0,0.488519475,0.545137375,0.543283902,0.603612044,0.603612044,0.998960768,0.797413531,0.809338092,0.303583501,0.781598185,0.000168714,0,0.463142179,0.000737074,0.00587104,0.095187688,6890000000,0.002266116,0.058590561,0.021710461
0,0.495685663,0.550915831,0.542962685,0.599208694,0.599208694,0.999000632,0.797403571,0.809320385,0.303482954,0.781574185,5820000000,0,0.470575308,0.000672067,0.392448628,0.109844475,5550000000,0.006354244,0.121292741,0.025494302
0,0.482474528,0.567542521,0.538197976,0.614025858,0.614025858,0.998978447,0.797534994,0.809459697,0.303758974,0.781629483,0.000318116,1900000000,0.46481803,0.000549055,0,0.096490514,747000000,0.004932564,0.103576503,0.047166348
